Emission trend,Year,Macroplastics,Predicted
Emissions growth to 2050,1950,0,FALSE
Emissions growth to 2050,1951,400,FALSE
Emissions growth to 2050,1952,600,FALSE
Emissions growth to 2050,1953,1000,FALSE
Emissions growth to 2050,1954,1300,FALSE
Emissions growth to 2050,1955,1800,FALSE
Emissions growth to 2050,1956,2400,FALSE
Emissions growth to 2050,1957,3000,FALSE
Emissions growth to 2050,1958,3800,FALSE
Emissions growth to 2050,1959,4600,FALSE
Emissions growth to 2050,1960,5600,FALSE
Emissions growth to 2050,1961,6700,FALSE
Emissions growth to 2050,1962,8100,FALSE
Emissions growth to 2050,1963,9600,FALSE
Emissions growth to 2050,1964,11500,FALSE
Emissions growth to 2050,1965,13500,FALSE
Emissions growth to 2050,1966,16000,FALSE
Emissions growth to 2050,1967,18800,FALSE
Emissions growth to 2050,1968,22000,FALSE
Emissions growth to 2050,1969,25900,FALSE
Emissions growth to 2050,1970,30200,FALSE
Emissions growth to 2050,1971,34900,FALSE
Emissions growth to 2050,1972,40300,FALSE
Emissions growth to 2050,1973,46500,FALSE
Emissions growth to 2050,1974,53100,FALSE
Emissions growth to 2050,1975,59200,FALSE
Emissions growth to 2050,1976,66200,FALSE
Emissions growth to 2050,1977,73600,FALSE
Emissions growth to 2050,1978,81600,FALSE
Emissions growth to 2050,1979,90400,FALSE
Emissions growth to 2050,1980,99300,FALSE
Emissions growth to 2050,1981,108400,FALSE
Emissions growth to 2050,1982,117800,FALSE
Emissions growth to 2050,1983,127800,FALSE
Emissions growth to 2050,1984,138500,FALSE
Emissions growth to 2050,1985,149600,FALSE
Emissions growth to 2050,1986,161300,FALSE
Emissions growth to 2050,1987,174000,FALSE
Emissions growth to 2050,1988,187300,FALSE
Emissions growth to 2050,1989,201200,FALSE
Emissions growth to 2050,1990,215900,FALSE
Emissions growth to 2050,1991,231000,FALSE
Emissions growth to 2050,1992,247000,FALSE
Emissions growth to 2050,1993,263600,FALSE
Emissions growth to 2050,1994,281600,FALSE
Emissions growth to 2050,1995,300200,FALSE
Emissions growth to 2050,1996,320200,FALSE
Emissions growth to 2050,1997,341500,FALSE
Emissions growth to 2050,1998,363900,FALSE
Emissions growth to 2050,1999,387800,FALSE
Emissions growth to 2050,2000,413100,FALSE
Emissions growth to 2050,2001,439200,FALSE
Emissions growth to 2050,2002,466800,FALSE
Emissions growth to 2050,2003,495500,FALSE
Emissions growth to 2050,2004,525900,FALSE
Emissions growth to 2050,2005,557100,FALSE
Emissions growth to 2050,2006,590200,FALSE
Emissions growth to 2050,2007,625000,FALSE
Emissions growth to 2050,2008,658800,FALSE
Emissions growth to 2050,2009,693400,FALSE
Emissions growth to 2050,2010,730100,FALSE
Emissions growth to 2050,2011,768000,FALSE
Emissions growth to 2050,2012,807200,FALSE
Emissions growth to 2050,2013,847900,FALSE
Emissions growth to 2050,2014,890200,FALSE
Emissions growth to 2050,2015,934100,FALSE
Emissions growth to 2050,2016,979500,FALSE
Emissions growth to 2050,2017,1026500,FALSE
Emissions growth to 2050,2018,1075200,FALSE
Emissions growth to 2050,2019,1125400,FALSE
Emissions growth to 2050,2020,1177400,TRUE
Emissions growth to 2050,2021,1231200,TRUE
Emissions growth to 2050,2022,1286800,TRUE
Emissions growth to 2050,2023,1344400,TRUE
Emissions growth to 2050,2024,1403900,TRUE
Emissions growth to 2050,2025,1465500,TRUE
Emissions growth to 2050,2026,1529300,TRUE
Emissions growth to 2050,2027,1595300,TRUE
Emissions growth to 2050,2028,1663700,TRUE
Emissions growth to 2050,2029,1734500,TRUE
Emissions growth to 2050,2030,1807700,TRUE
Emissions growth to 2050,2031,1883600,TRUE
Emissions growth to 2050,2032,1962200,TRUE
Emissions growth to 2050,2033,2043500,TRUE
Emissions growth to 2050,2034,2127800,TRUE
Emissions growth to 2050,2035,2215100,TRUE
Emissions growth to 2050,2036,2305500,TRUE
Emissions growth to 2050,2037,2399100,TRUE
Emissions growth to 2050,2038,2496100,TRUE
Emissions growth to 2050,2039,2596600,TRUE
Emissions growth to 2050,2040,2700600,TRUE
Emissions growth to 2050,2041,2808400,TRUE
Emissions growth to 2050,2042,2920100,TRUE
Emissions growth to 2050,2043,3035800,TRUE
Emissions growth to 2050,2044,3155700,TRUE
Emissions growth to 2050,2045,3279900,TRUE
Emissions growth to 2050,2046,3408600,TRUE
Emissions growth to 2050,2047,3542000,TRUE
Emissions growth to 2050,2048,3680200,TRUE
Emissions growth to 2050,2049,3823500,TRUE
Emissions growth to 2050,2050,3971900,TRUE
Emissions level to 2020,1950,0,FALSE
Emissions level to 2020,1951,400,FALSE
Emissions level to 2020,1952,600,FALSE
Emissions level to 2020,1953,1000,FALSE
Emissions level to 2020,1954,1300,FALSE
Emissions level to 2020,1955,1800,FALSE
Emissions level to 2020,1956,2400,FALSE
Emissions level to 2020,1957,3000,FALSE
Emissions level to 2020,1958,3800,FALSE
Emissions level to 2020,1959,4600,FALSE
Emissions level to 2020,1960,5600,FALSE
Emissions level to 2020,1961,6700,FALSE
Emissions level to 2020,1962,8100,FALSE
Emissions level to 2020,1963,9600,FALSE
Emissions level to 2020,1964,11500,FALSE
Emissions level to 2020,1965,13500,FALSE
Emissions level to 2020,1966,16000,FALSE
Emissions level to 2020,1967,18800,FALSE
Emissions level to 2020,1968,22000,FALSE
Emissions level to 2020,1969,25900,FALSE
Emissions level to 2020,1970,30200,FALSE
Emissions level to 2020,1971,34900,FALSE
Emissions level to 2020,1972,40300,FALSE
Emissions level to 2020,1973,46500,FALSE
Emissions level to 2020,1974,53100,FALSE
Emissions level to 2020,1975,59200,FALSE
Emissions level to 2020,1976,66200,FALSE
Emissions level to 2020,1977,73600,FALSE
Emissions level to 2020,1978,81600,FALSE
Emissions level to 2020,1979,90400,FALSE
Emissions level to 2020,1980,99300,FALSE
Emissions level to 2020,1981,108400,FALSE
Emissions level to 2020,1982,117800,FALSE
Emissions level to 2020,1983,127800,FALSE
Emissions level to 2020,1984,138500,FALSE
Emissions level to 2020,1985,149600,FALSE
Emissions level to 2020,1986,161300,FALSE
Emissions level to 2020,1987,174000,FALSE
Emissions level to 2020,1988,187300,FALSE
Emissions level to 2020,1989,201200,FALSE
Emissions level to 2020,1990,215900,FALSE
Emissions level to 2020,1991,231000,FALSE
Emissions level to 2020,1992,247000,FALSE
Emissions level to 2020,1993,263600,FALSE
Emissions level to 2020,1994,281600,FALSE
Emissions level to 2020,1995,300200,FALSE
Emissions level to 2020,1996,320200,FALSE
Emissions level to 2020,1997,341500,FALSE
Emissions level to 2020,1998,363900,FALSE
Emissions level to 2020,1999,387800,FALSE
Emissions level to 2020,2000,413100,FALSE
Emissions level to 2020,2001,439200,FALSE
Emissions level to 2020,2002,466800,FALSE
Emissions level to 2020,2003,495500,FALSE
Emissions level to 2020,2004,525900,FALSE
Emissions level to 2020,2005,557100,FALSE
Emissions level to 2020,2006,590200,FALSE
Emissions level to 2020,2007,625000,FALSE
Emissions level to 2020,2008,658800,FALSE
Emissions level to 2020,2009,693400,FALSE
Emissions level to 2020,2010,730100,FALSE
Emissions level to 2020,2011,768000,FALSE
Emissions level to 2020,2012,807200,FALSE
Emissions level to 2020,2013,847900,FALSE
Emissions level to 2020,2014,890200,FALSE
Emissions level to 2020,2015,934100,FALSE
Emissions level to 2020,2016,979500,FALSE
Emissions level to 2020,2017,1026500,FALSE
Emissions level to 2020,2018,1075200,FALSE
Emissions level to 2020,2019,1125400,FALSE
Emissions level to 2020,2020,1177400,TRUE
Emissions level to 2020,2021,1229700,TRUE
Emissions level to 2020,2022,1281900,TRUE
Emissions level to 2020,2023,1334100,TRUE
Emissions level to 2020,2024,1385800,TRUE
Emissions level to 2020,2025,1437100,TRUE
Emissions level to 2020,2026,1487900,TRUE
Emissions level to 2020,2027,1538000,TRUE
Emissions level to 2020,2028,1587600,TRUE
Emissions level to 2020,2029,1636500,TRUE
Emissions level to 2020,2030,1684700,TRUE
Emissions level to 2020,2031,1732300,TRUE
Emissions level to 2020,2032,1779300,TRUE
Emissions level to 2020,2033,1825500,TRUE
Emissions level to 2020,2034,1871100,TRUE
Emissions level to 2020,2035,1916000,TRUE
Emissions level to 2020,2036,1960200,TRUE
Emissions level to 2020,2037,2003700,TRUE
Emissions level to 2020,2038,2046600,TRUE
Emissions level to 2020,2039,2088700,TRUE
Emissions level to 2020,2040,2130200,TRUE
Emissions level to 2020,2041,2171000,TRUE
Emissions level to 2020,2042,2211100,TRUE
Emissions level to 2020,2043,2250700,TRUE
Emissions level to 2020,2044,2289600,TRUE
Emissions level to 2020,2045,2327900,TRUE
Emissions level to 2020,2046,2365500,TRUE
Emissions level to 2020,2047,2402600,TRUE
Emissions level to 2020,2048,2439100,TRUE
Emissions level to 2020,2049,2475000,TRUE
Emissions level to 2020,2050,2510400,TRUE
Emissions stop in 2020,1950,0,FALSE
Emissions stop in 2020,1951,400,FALSE
Emissions stop in 2020,1952,600,FALSE
Emissions stop in 2020,1953,1000,FALSE
Emissions stop in 2020,1954,1300,FALSE
Emissions stop in 2020,1955,1800,FALSE
Emissions stop in 2020,1956,2400,FALSE
Emissions stop in 2020,1957,3000,FALSE
Emissions stop in 2020,1958,3800,FALSE
Emissions stop in 2020,1959,4600,FALSE
Emissions stop in 2020,1960,5600,FALSE
Emissions stop in 2020,1961,6700,FALSE
Emissions stop in 2020,1962,8100,FALSE
Emissions stop in 2020,1963,9600,FALSE
Emissions stop in 2020,1964,11500,FALSE
Emissions stop in 2020,1965,13500,FALSE
Emissions stop in 2020,1966,16000,FALSE
Emissions stop in 2020,1967,18800,FALSE
Emissions stop in 2020,1968,22000,FALSE
Emissions stop in 2020,1969,25900,FALSE
Emissions stop in 2020,1970,30200,FALSE
Emissions stop in 2020,1971,34900,FALSE
Emissions stop in 2020,1972,40300,FALSE
Emissions stop in 2020,1973,46500,FALSE
Emissions stop in 2020,1974,53100,FALSE
Emissions stop in 2020,1975,59200,FALSE
Emissions stop in 2020,1976,66200,FALSE
Emissions stop in 2020,1977,73600,FALSE
Emissions stop in 2020,1978,81600,FALSE
Emissions stop in 2020,1979,90400,FALSE
Emissions stop in 2020,1980,99300,FALSE
Emissions stop in 2020,1981,108400,FALSE
Emissions stop in 2020,1982,117800,FALSE
Emissions stop in 2020,1983,127800,FALSE
Emissions stop in 2020,1984,138500,FALSE
Emissions stop in 2020,1985,149600,FALSE
Emissions stop in 2020,1986,161300,FALSE
Emissions stop in 2020,1987,174000,FALSE
Emissions stop in 2020,1988,187300,FALSE
Emissions stop in 2020,1989,201200,FALSE
Emissions stop in 2020,1990,215900,FALSE
Emissions stop in 2020,1991,231000,FALSE
Emissions stop in 2020,1992,247000,FALSE
Emissions stop in 2020,1993,263600,FALSE
Emissions stop in 2020,1994,281600,FALSE
Emissions stop in 2020,1995,300200,FALSE
Emissions stop in 2020,1996,320200,FALSE
Emissions stop in 2020,1997,341500,FALSE
Emissions stop in 2020,1998,363900,FALSE
Emissions stop in 2020,1999,387800,FALSE
Emissions stop in 2020,2000,413100,FALSE
Emissions stop in 2020,2001,439200,FALSE
Emissions stop in 2020,2002,466800,FALSE
Emissions stop in 2020,2003,495500,FALSE
Emissions stop in 2020,2004,525900,FALSE
Emissions stop in 2020,2005,557100,FALSE
Emissions stop in 2020,2006,590200,FALSE
Emissions stop in 2020,2007,625000,FALSE
Emissions stop in 2020,2008,658800,FALSE
Emissions stop in 2020,2009,693400,FALSE
Emissions stop in 2020,2010,730100,FALSE
Emissions stop in 2020,2011,768000,FALSE
Emissions stop in 2020,2012,807200,FALSE
Emissions stop in 2020,2013,847900,FALSE
Emissions stop in 2020,2014,890200,FALSE
Emissions stop in 2020,2015,934100,FALSE
Emissions stop in 2020,2016,979500,FALSE
Emissions stop in 2020,2017,1026500,FALSE
Emissions stop in 2020,2018,1075200,FALSE
Emissions stop in 2020,2019,1125400,FALSE
Emissions stop in 2020,2020,1136000,TRUE
Emissions stop in 2020,2021,1141600,TRUE
Emissions stop in 2020,2022,1141400,TRUE
Emissions stop in 2020,2023,1136200,TRUE
Emissions stop in 2020,2024,1127400,TRUE
Emissions stop in 2020,2025,1116200,TRUE
Emissions stop in 2020,2026,1103700,TRUE
Emissions stop in 2020,2027,1090700,TRUE
Emissions stop in 2020,2028,1077300,TRUE
Emissions stop in 2020,2029,1063800,TRUE
Emissions stop in 2020,2030,1049900,TRUE
Emissions stop in 2020,2031,1035800,TRUE
Emissions stop in 2020,2032,1021300,TRUE
Emissions stop in 2020,2033,1006500,TRUE
Emissions stop in 2020,2034,991600,TRUE
Emissions stop in 2020,2035,976600,TRUE
Emissions stop in 2020,2036,961700,TRUE
Emissions stop in 2020,2037,947000,TRUE
Emissions stop in 2020,2038,932500,TRUE
Emissions stop in 2020,2039,918300,TRUE
Emissions stop in 2020,2040,904500,TRUE
Emissions stop in 2020,2041,890900,TRUE
Emissions stop in 2020,2042,877600,TRUE
Emissions stop in 2020,2043,864700,TRUE
Emissions stop in 2020,2044,851900,TRUE
Emissions stop in 2020,2045,839500,TRUE
Emissions stop in 2020,2046,827100,TRUE
Emissions stop in 2020,2047,815000,TRUE
Emissions stop in 2020,2048,802800,TRUE
Emissions stop in 2020,2049,790700,TRUE
Emissions stop in 2020,2050,778600,TRUE
