Country,PerCapita
Afghanistan,0
Andorra,0
Armenia,0
Austria,0
Azerbaijan,0
Belarus,0
Bhutan,0
Bolivia,0
Botswana,0
Burkina Faso,0
Burma,0
Burundi,0
Central African Republic,0
Chad,0
Colombia,0
Comoros,0
Czechia,0
Eswatini,0
Ethiopia,0
Holy See,0
Hungary,0
Kazakhstan,0
Kosovo,0
Kyrgyzstan,0
Laos,0
Timor-Leste,0
West Bank and Gaza,0
Western Sahara,0
Zambia,0
Zimbabwe,0
Uzbekistan,0
Uganda,0
Tajikistan,0
Switzerland,0
South Sudan,0
Slovakia,0
Serbia,0
San Marino,0
Rwanda,0
Paraguay,0
North Macedonia,0
Niger,0
Nepal,0
Mongolia,0
Moldova,0
Mali,0
Malawi,0
Luxembourg,0
Liechtenstein,0
Lesotho,0
Comoros,0.201
Congo,0.069
Cook Islands,0.144
Costa Rica,0.258
Cote d'Ivoire,0.103
Croatia,0.252
Cuba,0.089
Curacao,0.252
Cyprus,0.248
Democratic Republic of Congo,0.045
Denmark,0.047
Djibouti,0.103
Dominica,0.149
Dominican Republic,0.144
Ecuador,0.147
Egypt,0.178
El Salvador,0.147
Equatorial Guinea,0.144
Eritrea,0.045
Estonia,0.176
Faeroe Islands,0.252
Falkland Islands,0.252
Fiji,0.189
Finland,0.234
France,0.192
French Guiana,0.144
French Polynesia,0.252
Gabon,0.054
Gambia,0.048
Georgia,0.068
Germany,0.485
Ghana,0.04
Gibraltar,0.252
Greece,0.2
Greenland,0.252
Grenada,0.325
Guadeloupe,0.144
Guam,0.252
Guatemala,0.28
Guernsey,0.252
Guinea,0.03
Guinea-Bissau,0.054
Guyana,0.586
Haiti,0.09
Honduras,0.189
Hong Kong,0.398
Iceland,0.281
India,0.01
Indonesia,0.057
Iran,0.144
Iraq,0.103
Ireland,0.43
Israel,0.297
Italy,0.134
Jamaica,0.034
Japan,0.171
Jordan,0.144
Kenya,0.027
Kiribati,0.103
Kuwait,0.686
Latvia,0.124
Lebanon,0.094
Liberia,0.084
Libya,0.144
Lithuania,0.132
Macao,0.368
Madagascar,0.016
Malaysia,0.198
Maldives,0.322
Malta,0.214
Marshall Islands,0.192
Martinique,0.252
Mauritania,0.045
Mauritius,0.23
Mexico,0.087
Micronesia ,0.103
Monaco,0.252
Montenegro,0.144
Montserrat,0.144
Morocco,0.073
Mozambique,0.015
Myanmar,0.075
Namibia,0.144
Nauru,0.144
Netherlands,0.424
Netherlands Antilles,0.252
New Caledonia,0.252
New Zealand,0.331
Nicaragua,0.143
Nigeria,0.103
Niue,0.252
Norfolk Island,0.103
North Korea,0.054
Northern Mariana Islands,0.252
Norway,0.28
Oman,0.084
Pakistan,0.103
Palau,0.144
Palestine,0.063
Panama,0.145
Papua New Guinea,0.103
Peru,0.144
Philippines,0.075
Poland,0.097
Portugal,0.265
Puerto Rico,0.252
Qatar,0.16
Reunion,0.144
Romania,0.042
Russia,0.112
Saint Helena,0.144
Saint Kitts and Nevis,0.654
Saint Lucia,0.522
Saint Pierre and Miquelon,0.252
Saint Vincent and the Grenadines,0.221
Samoa,0.103
Sao Tome and Principe,0.103
Saudi Arabia,0.156
Senegal,0.103
Seychelles,0.358
Sierra Leone,0.041
Singapore,0.194
Sint Maarten (Dutch part),0.252
Slovenia,0.145
Solomon Islands,0.103
Somalia,0.054
South Africa,0.24
South Korea,0.112
Spain,0.277
Sri Lanka,0.357
Sudan,0.103
Suriname,0.163
Sweden,0.048
Syria,0.178
Taiwan,0.252
Tanzania,0.023
Thailand,0.144
Togo,0.057
Tokelau,0.103
Tonga,0.223
Trinidad and Tobago,0.29
Tunisia,0.144
Turkey,0.212
Turks and Caicos Islands,0.252
Tuvalu,0.144
Ukraine,0.103
United Arab Emirates,0.199
United Kingdom,0.215
United States of America,0.335
Uruguay,0.252
Vanuatu,0.295
Venezuela,0.252
Vietnam,0.103
Yemen,0.103